centre_number,orbit_index,radius,count_excluding_self,mass,log_radius,log_mass,estimator
374,76048,0.019105325347517015,937,0.00937,-3.957788168784828,-4.670242182731807,knn
374,76048,0.0220430568024866,1270,0.0127,-3.814757610916705,-4.3661532855175915,knn
374,76048,0.024714385491673378,1721,0.01721,-3.700369796312482,-4.062264668758689,knn
374,76048,0.03031542131006971,2333,0.02333,-3.4960987418123235,-3.7580151929487986,knn
374,76048,0.04022047120693698,3162,0.03162,-3.213379178969388,-3.4539654472008112,knn
375,76115,0.0014573019019160005,18,0.00018,-6.531168565329749,-8.622553707074063,knn
375,76115,0.0017053248719902127,24,0.00024,-6.373999645640518,-8.334871634622283,knn
375,76115,0.0020150071929030972,33,0.00033,-6.2071325139109055,-8.016417903503749,knn
375,76115,0.002211327798879362,44,0.00044,-6.114162129896368,-7.728735831051967,knn
375,76115,0.002758297893843836,60,0.0006,-5.893141494622951,-7.418580902748128,knn
375,76115,0.0035009076168988074,82,0.00082,-5.654733024990214,-7.106206217705975,knn
375,76115,0.003968122700784161,111,0.00111,-5.5294621674609505,-6.803395263657894,knn
375,76115,0.004796561538054375,151,0.00151,-5.339855964005528,-6.495645628155304,knn
375,76115,0.005480266005639488,204,0.00204,-5.206601638025209,-6.194805471126012,knn
375,76115,0.006795046440678643,277,0.00277,-4.991561396865426,-5.88890795878289,knn
375,76115,0.008346786011758447,376,0.00376,-4.785878722987212,-5.583336321580334,knn
375,76115,0.01085300624357434,510,0.0051,-4.52331316423285,-5.2785147392518565,knn
375,76115,0.013246114331859585,691,0.00691,-4.324051027531295,-4.974785641202558,knn
375,76115,0.017318789593684582,937,0.00937,-4.055963263181101,-4.670242182731807,knn
375,76115,0.023444968482699446,1270,0.0127,-3.7530993707494695,-4.3661532855175915,knn
375,76115,0.031759290403423984,1721,0.01721,-3.44956998531426,-4.062264668758689,knn
375,76115,0.042765460173919426,2333,0.02333,-3.1520245074807005,-3.7580151929487986,knn
375,76115,0.057887855011104515,3162,0.03162,-2.849247674417488,-3.4539654472008112,knn
376,76525,0.0033498292578942068,18,0.00018,-5.6988459022368385,-8.622553707074063,knn
376,76525,0.004301778088299172,24,0.00024,-5.448726832847083,-8.334871634622283,knn
376,76525,0.006510562588806641,33,0.00033,-5.034329407324054,-8.016417903503749,knn
376,76525,0.009718646584740288,44,0.00044,-4.6337089104576705,-7.728735831051967,knn
376,76525,0.014053186809183028,60,0.0006,-4.264906089763024,-7.418580902748128,knn
376,76525,0.019339158794332494,82,0.00082,-3.9456232855424296,-7.106206217705975,knn
376,76525,0.025836845204798082,111,0.00111,-3.655953697118875,-6.803395263657894,knn
376,76525,0.03460247621186365,151,0.00151,-3.3638300326623725,-6.495645628155304,knn
376,76525,0.04703819173356699,204,0.00204,-3.056795417168758,-6.194805471126012,knn
376,76525,0.06163034740768883,277,0.00277,-2.786600877033952,-5.88890795878289,knn
376,76525,0.07996511642477795,376,0.00376,-2.5261647840936616,-5.583336321580334,knn
376,76525,0.09358754679057196,510,0.0051,-2.3688579514594164,-5.2785147392518565,knn
376,76525,0.0955589144419999,691,0.00691,-2.3480123165513813,-4.974785641202558,knn
376,76525,0.10046356689691706,937,0.00937,-2.297960135647337,-4.670242182731807,knn
376,76525,0.11019804858320552,1270,0.0127,-2.2054760903765036,-4.3661532855175915,knn
376,76525,0.12678541735150878,1721,0.01721,-2.065259248706891,-4.062264668758689,knn
376,76525,0.15179961712512716,2333,0.02333,-1.8851939362561523,-3.7580151929487986,knn
376,76525,0.1875655759489047,3162,0.03162,-1.6736267563217295,-3.4539654472008112,knn
377,76616,0.0006821044176249067,18,0.00018,-7.290327806818333,-8.622553707074063,knn
377,76616,0.0007331202697226052,24,0.00024,-7.21820079078863,-8.334871634622283,knn
377,76616,0.0008813721463514422,33,0.00033,-7.03403060765382,-8.016417903503749,knn
377,76616,0.0009757506229585298,44,0.00044,-6.932303513463037,-7.728735831051967,knn
377,76616,0.0011851298817860591,60,0.0006,-6.737902905518468,-7.418580902748128,knn
377,76616,0.001474270465031187,82,0.00082,-6.519592011524126,-7.106206217705975,knn
377,76616,0.0020426624221753136,111,0.00111,-6.193501213130901,-6.803395263657894,knn
