centre_number,orbit_index,x,y,local_dimension,intercept,r_squared,fit_points,min_fit_count,max_fit_count,estimator,fit_min_radius,fit_max_radius,fit_min_mass,fit_max_mass
178,15916,0.8601542235787205,0.14934222001114378,1.3243917622790324,0.23625666401635687,0.9967581245212878,18,15,1947,knn,0.0019437489396330735,0.08127250396553296,0.0003,0.03894
179,16064,-0.5424974954914272,0.32442407008709456,0.864622579548834,-1.1705153354906916,0.9912422509892865,18,15,1947,knn,0.0004968751776599083,0.09004047691758238,0.0003,0.03894
180,16251,0.4480762251108112,0.19928368222619272,1.5764941659778942,1.333834421777289,0.9909921534708281,18,15,1947,knn,0.0024747591213744456,0.05976010557828759,0.0003,0.03894
181,16269,-0.5012638616221391,0.3204573183074475,1.1015238862600112,-0.45380861344673434,0.995984555365087,18,15,1947,knn,0.0010963757414192443,0.08157695419006127,0.0003,0.03894
182,16277,-0.757128983663563,0.3251700285268773,1.2079180337494198,-0.7261152234829962,0.9941519667862797,18,15,1947,knn,0.0024351304360799657,0.13345207526592662,0.0003,0.03894
183,16398,1.0782206077237309,-0.11396782209938675,1.2426746207679582,-0.13188055286866943,0.9912768240649651,18,15,1947,knn,0.0015154308143278008,0.09166288519769256,0.0003,0.03894
184,16506,0.7056755797234087,0.024558031273919582,1.087115088166691,-0.5869179852755136,0.9908636540492398,18,15,1947,knn,0.0014032165366319035,0.07986373983938659,0.0003,0.03894
185,16594,0.43571563815365444,0.14606410852829646,1.158200382690479,-0.9585485327079714,0.927892897241103,18,15,1947,knn,0.0013115871954484488,0.07352402546877426,0.0003,0.03894
186,16729,0.7711000570487293,0.1645056043274675,1.3690909792215087,0.2509754996719384,0.9910972421187236,18,15,1947,knn,0.0021567808450545464,0.09076373069425248,0.0003,0.03894
187,16755,1.0383762934989187,0.1018868617846538,1.4406709026495568,1.3548920297666152,0.9957655651099466,18,15,1947,knn,0.001353943567516658,0.04444966419287553,0.0003,0.03894
188,16918,0.48132314155998335,-0.1089735341117022,1.19886317102936,-1.1301011493112465,0.9970056745115077,18,15,1947,knn,0.0028664965682196216,0.14077776538011033,0.0003,0.03894
189,16953,-1.091373879921389,0.36168610267732626,1.3538545606149957,0.3409199095640945,0.9888029154709391,18,15,1947,knn,0.0025663718914117604,0.08856998196489743,0.0003,0.03894
190,17105,-0.5730092722888435,0.30350304984598747,1.3261732241047766,-0.20645158928212887,0.9812650932101074,18,15,1947,knn,0.001977350915424938,0.09649498700382915,0.0003,0.03894
191,17442,0.6160360643889202,0.1298754045296525,1.375333800043793,-0.007259457358192298,0.9763052232296009,18,15,1947,knn,0.0027457376484471174,0.067466097103637,0.0003,0.03894
192,17456,-0.4113661411582529,0.3126361535885925,1.1084694226107112,-0.7689839596188727,0.9911115910871314,18,15,1947,knn,0.0011630542054688244,0.09069463845423682,0.0003,0.03894
193,17485,0.14801405573321463,-0.17855683126967845,1.1985089850238757,-1.8473226765148096,0.939234603039782,18,15,1947,knn,0.004140005788710808,0.19043106675709665,0.0003,0.03894
194,17517,0.6098504571862404,-0.09612702985002954,1.8525029139044793,0.6991912664401185,0.9594048009703455,18,15,1947,knn,0.006748487111572224,0.12530740071169222,0.0003,0.03894
195,17628,0.024990515676802938,0.26784720657488237,1.063452869044746,-1.3016451212914073,0.9897554814136248,18,15,1947,knn,0.0014592763250472836,0.1253401587911576,0.0003,0.03894
196,17637,0.5834604487546168,-0.22063701445818465,1.1297235621258435,-1.4953791286314266,0.9919219932917663,18,15,1947,knn,0.003261218577062964,0.15766728776311348,0.0003,0.03894
197,17774,-0.5389406591103247,-0.27252513213036916,0.9950546761719886,-1.7378887681118456,0.9978420751058968,18,15,1947,knn,0.0014476910088788379,0.20132800495211298,0.0003,0.03894
198,17846,-0.086066891596226,0.2784915741985139,1.0705875906296871,-1.1224050686414015,0.9988302358446273,18,15,1947,knn,0.0015424526502265782,0.13292966591273112,0.0003,0.03894
199,17898,0.24628451522516503,0.24195525534608497,1.279920820956792,-0.39205225960466616,0.9880519513267663,18,15,1947,knn,0.001999639827923768,0.07981271783074163,0.0003,0.03894
200,18138,1.019254393948706,0.10657926805289256,1.5065483349372772,1.476289478608736,0.9844468471789221,18,15,1947,knn,0.0018250692210467622,0.05339204400806127,0.0003,0.03894
201,18140,1.1363748408989858,-0.1043556178093047,1.2151732365806363,-0.15333017708220634,0.9842758072810035,18,15,1947,knn,0.0011655519885423182,0.08540567232565754,0.0003,0.03894
